,Title,Artist,dateCreated,Department,dateAcquired,URL,Gender,Nationality,Nation,country_code,Divide,Region,Source
85733,Untitled,Jim Shaw,2003,Still Images,2005,http://www.moma.org/collection/works/97381,M,American,United States,USA,Global North,North America,MoMA (sampled)
85734,Untitled,Jim Shaw,2003,Still Images,2005,http://www.moma.org/collection/works/97382,M,American,United States,USA,Global North,North America,MoMA (sampled)
85735,Untitled,Raqib Shaw,2004,Still Images,2005,http://www.moma.org/collection/works/97383,M,Indian,India,IND,Global South,Asia & Pacific,MoMA (sampled)
85736,Untitled,Raqib Shaw,2004,Still Images,2005,http://www.moma.org/collection/works/97384,M,Indian,India,IND,Global South,Asia & Pacific,MoMA (sampled)
85737,Untitled,Raqib Shaw,2004,Still Images,2005,http://www.moma.org/collection/works/97385,M,Indian,India,IND,Global South,Asia & Pacific,MoMA (sampled)
85738,Untitled (A Piece of Dynamite),David Shrigley,2002,Still Images,2005,http://www.moma.org/collection/works/97386,M,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
85739,Untitled (The Naked Expressionist),David Shrigley,2002,Still Images,2005,http://www.moma.org/collection/works/97387,M,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
85740,Untitled (The Needs of Children),David Shrigley,2002,Still Images,2005,http://www.moma.org/collection/works/97388,M,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
85741,Untitled (They Will Share Their Joy with You),David Shrigley,2002,Still Images,2005,http://www.moma.org/collection/works/97389,M,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
85742,Untitled (Nature's Botox),Simone Shubuck,2003,Still Images,2005,http://www.moma.org/collection/works/97390,F,American,United States,USA,Global North,North America,MoMA (sampled)
85743,Drawings Box B (Blue Box),Simone Shubuck,2003,Still Images,2005,http://www.moma.org/collection/works/97391,F,American,United States,USA,Global North,North America,MoMA (sampled)
85744,Untitled (He Called Me Homey),Simone Shubuck,2003,Still Images,2005,http://www.moma.org/collection/works/97392,F,American,United States,USA,Global North,North America,MoMA (sampled)
85745,Platz der Verschwendung,Andreas Siekmann,1998,Still Images,2005,http://www.moma.org/collection/works/97393,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
85746,Platz der Gartenarbeit,Andreas Siekmann,1998,Still Images,2005,http://www.moma.org/collection/works/97394,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
85747,#11,James Siena,1990,Still Images,2005,http://www.moma.org/collection/works/97395,M,American,United States,USA,Global North,North America,MoMA (sampled)
85748,#4,James Siena,1990,Still Images,2005,http://www.moma.org/collection/works/97396,M,American,United States,USA,Global North,North America,MoMA (sampled)
85749,#5,James Siena,1990,Still Images,2005,http://www.moma.org/collection/works/97397,M,American,United States,USA,Global North,North America,MoMA (sampled)
85750,Interlocked Lattice (Large),James Siena,2003,Still Images,2005,http://www.moma.org/collection/works/97398,M,American,United States,USA,Global North,North America,MoMA (sampled)
85751,Interlocked Lattice (Small),James Siena,2003,Still Images,2005,http://www.moma.org/collection/works/97399,M,American,United States,USA,Global North,North America,MoMA (sampled)
85752,Lighthouse Variation (with Crosses),James Siena,2003,Still Images,2005,http://www.moma.org/collection/works/97400,M,American,United States,USA,Global North,North America,MoMA (sampled)
85753,Partially Coffered Unknot,James Siena,2003,Still Images,2005,http://www.moma.org/collection/works/97401,M,American,United States,USA,Global North,North America,MoMA (sampled)
85754,Untitled,Paul Sietsema,2002,Still Images,2005,http://www.moma.org/collection/works/97402,M,American,United States,USA,Global North,North America,MoMA (sampled)
85755,Taxi Drawing,Paul Sietsema,2003,Still Images,2005,http://www.moma.org/collection/works/97403,M,American,United States,USA,Global North,North America,MoMA (sampled)
85756,Maligned Monsters III,Shahzia Sikander,2002,Still Images,2005,http://www.moma.org/collection/works/97404,F,Pakistani,Pakistan,PAK,Global South,Asia & Pacific,MoMA (sampled)
85757,Untitled,Shahzia Sikander,2002,Still Images,2005,http://www.moma.org/collection/works/97405,F,Pakistani,Pakistan,PAK,Global South,Asia & Pacific,MoMA (sampled)
